Zero-Allocation-Hashing #67 — VarHandle vs Unsafe go/no-go, whole XXH3 hash of byte[]
JMH 1.37, AverageTime ns/op (lower=better), 2 forks x (3x0.5s warmup + 5x0.5s meas).
Hardware: single host, same run. Score +/- 99.9% CI half-width. VH/U = varHandle/unsafe %.
hash: LongHashFunction.xx3().hash(input, ACCESS, BYTE_BASE+startAlign, length)
====================================================================================================

--- JDK 11 ---
  len align |       unsafe ns/op |    varHandle ns/op |   VH/U
    8     0 |      2.92 +/-  0.08 |      3.10 +/-  0.05 |   106%
    8     1 |      2.88 +/-  0.04 |      3.10 +/-  0.11 |   107%
   16     0 |      3.08 +/-  0.08 |      3.51 +/-  0.12 |   114%
   16     1 |      3.06 +/-  0.05 |      3.49 +/-  0.04 |   114%
   64     0 |      5.80 +/-  0.30 |      7.32 +/-  0.25 |   126%
   64     1 |      5.73 +/-  0.08 |      7.28 +/-  0.16 |   127%
  128     0 |      9.96 +/-  0.15 |     12.23 +/-  0.06 |   123%
  128     1 |      9.98 +/-  0.12 |     12.38 +/-  0.18 |   124%
 1024     0 |     63.36 +/-  0.99 |     95.95 +/- 27.31 |   151%
 1024     1 |     71.47 +/- 10.11 |     96.45 +/- 26.42 |   135%
 4096     0 |    253.72 +/-  4.00 |    285.88 +/-  4.28 |   113%
 4096     1 |    256.78 +/-  4.11 |    293.02 +/-  8.11 |   114%

--- JDK 17 ---
  len align |       unsafe ns/op |    varHandle ns/op |   VH/U
    8     0 |      2.28 +/-  0.07 |      2.70 +/-  0.14 |   118%
    8     1 |      2.25 +/-  0.05 |      2.69 +/-  0.10 |   120%
   16     0 |      2.41 +/-  0.06 |      2.64 +/-  0.04 |   110%
   16     1 |      2.46 +/-  0.05 |      2.75 +/-  0.09 |   112%
   64     0 |      5.15 +/-  0.07 |      6.50 +/-  0.13 |   126%
   64     1 |      5.23 +/-  0.14 |      6.48 +/-  0.08 |   124%
  128     0 |     10.71 +/-  0.16 |     11.94 +/-  0.22 |   111%
  128     1 |     10.98 +/-  0.40 |     12.19 +/-  0.16 |   111%
 1024     0 |     68.62 +/-  0.53 |     98.70 +/-  2.43 |   144%
 1024     1 |     70.29 +/-  1.09 |     99.51 +/-  0.99 |   142%
 4096     0 |    263.91 +/-  2.55 |    379.08 +/-  4.91 |   144%
 4096     1 |    268.01 +/-  3.59 |    380.00 +/-  6.20 |   142%

--- JDK 21 ---
  len align |       unsafe ns/op |    varHandle ns/op |   VH/U
    8     0 |      2.28 +/-  0.05 |      2.64 +/-  0.03 |   115%
    8     1 |      2.28 +/-  0.02 |      2.62 +/-  0.02 |   115%
   16     0 |      2.48 +/-  0.06 |      2.92 +/-  0.06 |   118%
   16     1 |      2.51 +/-  0.08 |      2.91 +/-  0.03 |   116%
   64     0 |      5.17 +/-  0.06 |      6.36 +/-  0.07 |   123%
   64     1 |      5.21 +/-  0.05 |      6.58 +/-  0.07 |   126%
  128     0 |     10.47 +/-  0.07 |     11.95 +/-  0.18 |   114%
  128     1 |     10.71 +/-  0.12 |     12.08 +/-  0.16 |   113%
 1024     0 |     63.59 +/-  1.10 |    102.94 +/-  1.42 |   162%
 1024     1 |     65.30 +/-  4.15 |    102.99 +/-  2.00 |   158%
 4096     0 |    244.45 +/-  4.77 |    352.69 +/-  6.98 |   144%
 4096     1 |    248.10 +/-  2.14 |    358.90 +/-  5.38 |   145%

--- JDK 25 ---
  len align |       unsafe ns/op |    varHandle ns/op |   VH/U
    8     0 |      2.25 +/-  0.04 |      2.64 +/-  0.05 |   117%
    8     1 |      2.26 +/-  0.03 |      2.65 +/-  0.07 |   118%
   16     0 |      2.55 +/-  0.04 |      2.93 +/-  0.09 |   115%
   16     1 |      2.57 +/-  0.04 |      2.91 +/-  0.08 |   113%
   64     0 |      5.24 +/-  0.07 |      6.42 +/-  0.26 |   122%
   64     1 |      5.28 +/-  0.15 |      6.55 +/-  0.16 |   124%
  128     0 |      9.28 +/-  0.16 |     11.56 +/-  0.14 |   124%
  128     1 |      9.33 +/-  0.13 |     11.95 +/-  0.17 |   128%
 1024     0 |     58.18 +/-  1.46 |     91.49 +/-  0.91 |   157%
 1024     1 |     58.87 +/-  0.72 |     92.73 +/-  1.57 |   158%
 4096     0 |    217.42 +/-  2.05 |    299.69 +/-  6.36 |   138%
 4096     1 |    226.19 +/-  4.09 |    301.69 +/-  5.25 |   133%
